FIPS,MCML,KMeans,SVM
1049,1.0,1.0,1
4001,1.0,1.0,1
4005,1.0,1.0,1
4019,1.0,1.0,1
6003,4.0,4.0,1
6017,2.0,2.0,1
6019,1.0,1.0,1
6029,1.0,1.0,1
6037,1.0,1.0,1
6043,1.0,1.0,1
6051,2.0,2.0,1
6057,1.0,2.0,1
6061,1.0,1.0,1
6071,1.0,1.0,1
6093,1.0,1.0,1
6109,1.0,1.0,1
8007,1.0,1.0,1
8013,2.0,2.0,1
8015,1.0,1.0,1
8019,3.0,3.0,2
8037,2.0,2.0,2
8045,2.0,2.0,1
8049,3.0,3.0,2
8051,2.0,2.0,2
8065,2.0,2.0,2
8067,2.0,2.0,1
8077,1.0,1.0,1
8097,3.0,3.0,2
8107,3.0,3.0,2
8111,4.0,4.0,3
8113,2.0,2.0,1
8117,3.0,3.0,2
9001,1.0,1.0,1
9003,2.0,1.0,1
9005,2.0,2.0,1
16003,2.0,2.0,2
16005,2.0,2.0,2
16013,3.0,3.0,3
16017,3.0,2.0,4
16025,2.0,2.0,2
16031,1.0,1.0,2
16035,4.0,4.0,1
16049,2.0,1.0,2
16051,1.0,1.0,1
16079,4.0,4.0,2
17031,1.0,1.0,1
17043,1.0,1.0,1
17085,1.0,1.0,1
17161,1.0,1.0,1
18029,5.0,5.0,5
18117,1.0,1.0,1
19015,1.0,1.0,1
19061,1.0,1.0,1
19153,1.0,1.0,1
19155,1.0,1.0,1
23001,2.0,2.0,2
23003,2.0,2.0,3
23005,2.0,2.0,2
23007,2.0,2.0,3
23013,2.0,2.0,2
23017,2.0,2.0,3
23019,2.0,2.0,2
23021,3.0,2.0,3
23025,2.0,2.0,3
24023,1.0,1.0,1
25003,2.0,2.0,2
25009,2.0,2.0,1
25011,2.0,2.0,2
25013,2.0,2.0,1
25017,2.0,2.0,1
25021,2.0,1.0,1
25027,2.0,2.0,1
26005,2.0,2.0,1
26009,1.0,1.0,5
26029,2.0,2.0,2
26047,2.0,2.0,2
26053,2.0,2.0,2
26055,1.0,1.0,2
26061,2.0,2.0,2
26071,2.0,2.0,2
26081,2.0,2.0,1
26083,2.0,2.0,2
26089,2.0,1.0,2
26093,1.0,1.0,1
26103,2.0,2.0,2
26125,1.0,1.0,1
26131,3.0,3.0,2
26135,1.0,1.0,2
26137,2.0,2.0,2
26139,1.0,1.0,5
26145,1.0,1.0,1
26159,2.0,1.0,1
26165,2.0,2.0,2
27005,1.0,1.0,1
27007,1.0,1.0,1
27013,1.0,1.0,1
27031,1.0,1.0,2
27041,1.0,1.0,1
27049,1.0,1.0,1
27053,1.0,1.0,1
27061,1.0,1.0,1
27137,1.0,1.0,2
27145,1.0,1.0,1
27157,1.0,1.0,1
27163,1.0,1.0,1
29165,1.0,1.0,1
29189,1.0,1.0,1
30001,2.0,2.0,2
30009,1.0,1.0,1
30013,1.0,1.0,1
30029,2.0,2.0,2
30031,3.0,3.0,3
30039,2.0,2.0,2
30049,1.0,1.0,2
30053,2.0,2.0,2
30057,2.0,2.0,2
30063,2.0,2.0,2
30081,2.0,2.0,2
32003,1.0,1.0,1
32031,1.0,1.0,1
33001,2.0,2.0,2
33003,2.0,2.0,2
33005,2.0,2.0,2
33007,3.0,3.0,3
33009,2.0,2.0,2
33011,2.0,2.0,2
33013,2.0,2.0,2
33019,2.0,2.0,2
34003,1.0,1.0,1
35007,1.0,1.0,1
35027,1.0,1.0,1
35028,1.0,1.0,1
35035,1.0,1.0,1
35055,2.0,2.0,1
36009,2.0,2.0,2
36013,2.0,2.0,1
36019,2.0,1.0,2
36023,2.0,2.0,2
36025,2.0,2.0,2
36029,2.0,2.0,2
36031,2.0,2.0,2
36033,2.0,2.0,2
36035,3.0,3.0,3
36039,2.0,2.0,2
36043,3.0,2.0,3
36045,2.0,2.0,2
36065,2.0,2.0,2
36067,2.0,2.0,2
36069,1.0,1.0,1
36105,2.0,2.0,2
36111,2.0,2.0,1
36113,2.0,2.0,2
37087,1.0,1.0,1
37115,1.0,1.0,1
37189,1.0,1.0,1
38009,1.0,1.0,1
38019,1.0,1.0,1
38059,1.0,1.0,1
39085,1.0,1.0,1
39091,1.0,1.0,1
39139,1.0,1.0,1
39153,1.0,1.0,1
41001,2.0,2.0,2
41005,1.0,1.0,1
41027,1.0,1.0,1
41035,2.0,2.0,2
41037,1.0,1.0,2
41043,1.0,1.0,1
41059,1.0,1.0,1
41063,2.0,2.0,2
42001,1.0,1.0,1
42003,1.0,1.0,1
42009,1.0,1.0,1
42011,1.0,1.0,1
42025,2.0,1.0,1
42027,1.0,1.0,1
42049,2.0,2.0,1
42055,1.0,1.0,1
42069,1.0,1.0,5
42089,1.0,1.0,1
42103,2.0,1.0,1
42111,2.0,2.0,2
42115,1.0,1.0,2
44009,1.0,1.0,1
46099,1.0,1.0,1
48041,1.0,1.0,1
49005,2.0,2.0,2
49021,2.0,2.0,1
49035,2.0,2.0,1
49043,3.0,2.0,2
49049,1.0,1.0,1
49057,2.0,2.0,2
50001,2.0,2.0,2
50005,2.0,2.0,2
50007,2.0,2.0,2
50015,4.0,4.0,3
50019,3.0,3.0,2
50021,2.0,2.0,2
50023,2.0,2.0,2
50025,2.0,2.0,2
50027,2.0,2.0,2
51017,1.0,1.0,1
51125,1.0,1.0,1
51171,1.0,1.0,1
53007,2.0,2.0,2
53009,1.0,1.0,1
53013,2.0,2.0,2
53033,1.0,1.0,1
53037,3.0,3.0,2
53041,1.0,1.0,1
53047,2.0,2.0,2
53063,1.0,1.0,2
53065,1.0,1.0,2
53073,1.0,1.0,1
54075,2.0,2.0,1
55021,1.0,1.0,1
55025,1.0,1.0,1
55031,1.0,1.0,2
55059,1.0,1.0,1
55061,1.0,1.0,1
55063,1.0,1.0,1
55067,2.0,2.0,1
55073,1.0,1.0,1
55081,1.0,1.0,1
55095,1.0,1.0,1
55097,1.0,1.0,1
55109,5.0,4.0,1
55111,1.0,1.0,1
55117,1.0,1.0,1
55127,1.0,1.0,1
55131,1.0,1.0,1
55133,1.0,1.0,1
55141,1.0,1.0,1
56001,2.0,2.0,1
56023,3.0,3.0,4
56025,2.0,2.0,1
56035,2.0,2.0,4
56039,3.0,3.0,4
